Date,Stress_Score
2026-05-07,0.0
2026-05-08,0.0
2026-05-09,0.0
2026-05-10,0.0
2026-05-11,0.7768024381469277
2026-05-12,0.8892423936298915
2026-05-13,0.6846914414097282
2026-05-14,0.6910558424212716
2026-05-15,0.8631859481334686
2026-05-16,0.8571742534637451
2026-05-17,0.8032596382227811
2026-05-18,0.835569276412328
2026-05-19,0.8398287097613016
2026-05-20,0.8355213724649869
2026-05-21,0.8407082898276192
2026-05-22,0.7573597008983294
2026-05-23,0.826314123471578
2026-05-24,0.8548204236560397
2026-05-25,0.8050317347049714
2026-05-26,0.8531557454003228
2026-05-27,0.7398092974634731
2026-05-28,0.8446833537175105
2026-05-29,0.8434896927613479
2026-05-30,0.7914916922648748
2026-05-31,0.8225306905806065
2026-06-01,0.9023931111608233
2026-06-02,0.7736881652048656
2026-06-03,0.7999118160117756
2026-06-04,0.81345720688502
2026-06-05,0.8464103774590925
2026-06-06,0.7618597030639649
2026-06-07,0.7156615899159358
2026-06-08,0.8981988082329432
2026-06-09,0.8216423109958046
2026-06-10,0.8093407327930132
2026-06-11,0.8410105332732201
2026-06-12,0.8991593387391832
2026-06-13,0.8351533229534442
2026-06-14,0.8570382727517022
2026-06-15,0.79780513048172
2026-06-16,0.7833876742257012
2026-06-17,0.7804135456681252
2026-06-18,0.7709824280305342
2026-06-19,0.7976881033844418
2026-06-22,0.925187885761261
2026-06-23,0.868186891078949
2026-06-24,0.8878191288779763
2026-06-25,0.7985674465696017
2026-06-26,0.7821543642452785
2026-06-29,0.7793495208024979
2026-06-30,0.8346470064587064
2026-07-01,0.8137711859666384
2026-07-02,0.8434695899486542
2026-07-03,0.7203883280356725
2026-07-06,0.6519659757614136
2026-07-07,0.855549520916409
2026-07-08,0.8809902220964432
2026-07-09,0.8824638091027737
2026-07-10,0.7937032322088877
2026-07-13,0.7524569094181061
2026-07-14,0.8048923962256488
2026-07-15,0.853733930322859
2026-07-16,0.8062325247696468
2026-07-17,0.8185551232761807
2026-07-20,0.8443389705249241
2026-07-21,0.7941581591963768
2026-07-22,0.7403263424833616
2026-07-23,0.8176286314663134
2026-07-24,0.8167855963110924
2026-07-27,0.8088509440422058
2026-07-28,0.8030510107676189
2026-07-29,0.8210125482744641
2026-07-30,0.8016283929347991
2026-07-31,0.818892185886701
2026-08-03,0.7732845023274422
2026-08-04,0.8727551168865628
2026-08-05,0.7649660238197872
2026-08-06,0.7927693963050843
